Dias,Amostra5
2020-05-17,0.00785405330927871
2020-05-18,0.258464222447946
2020-05-19,0.273906719651885
2020-05-20,0.296882958875866
2020-05-21,0.32588619171588
2020-05-22,0.33078145009176
2020-05-23,0.335676708467641
2020-05-24,0.388787915771789
2020-05-25,0.441899123075937
2020-05-26,0.489907384231063
2020-05-27,0.537915645386189
2020-05-28,0.539467168762042
2020-05-29,0.541018692137895
2020-05-30,0.542570215513749
2020-05-31,0.557355948602441
2020-06-01,0.573006406875382
2020-06-02,0.584536075998694
2020-06-03,0.586073365215136
2020-06-04,0.586735253627771
2020-06-05,0.587397142040405
2020-06-06,0.58805903045304
2020-06-07,0.586265526367191
2020-06-08,0.582817301249756
2020-06-09,0.578386919132928
2020-06-10,0.567625894617836
2020-06-11,0.567266482092696
2020-06-12,0.566907069567555
2020-06-13,0.566547657042415
2020-06-14,0.568565349138995
2020-06-15,0.568042243780622
2020-06-16,0.570380204463961
2020-06-17,0.580404611229507
2020-06-18,0.581418795087577
2020-06-19,0.582432978945646
2020-06-20,0.583447162803715
2020-06-21,0.587343763942612
2020-06-22,0.590567801049316
2020-06-23,0.593279408417206
2020-06-24,0.603720164345539
2020-06-25,0.605631100246533
2020-06-26,0.607542036147526
2020-06-27,0.60945297204852
2020-06-28,0.615036321077679
2020-06-29,0.663984036753965
2020-06-30,0.665777540839813
2020-07-01,0.667571044925662
2020-07-02,0.66936454901151
2020-07-03,0.671158053097359
2020-07-04,0.672951557183208
2020-07-05,0.68246353420994
2020-07-06,0.71114892396396
2020-07-07,0.72796302476879
2020-07-08,0.729987833945076
2020-07-09,0.732012643121361
2020-07-10,0.734037452297647
2020-07-11,0.744649018138918
2020-07-12,0.74687488481689
2020-07-13,0.749100751494863
2020-07-14,0.763512837899004
2020-07-15,0.765925527919253
2020-07-16,0.768338217939501
2020-07-17,0.77075090795975
2020-07-18,0.771690362480909
2020-07-19,0.772202792219723
2020-07-20,0.772715221958536
2020-07-21,0.772426980230454
2020-07-22,0.772999905146766
2020-07-23,0.773572830063079
2020-07-24,0.774145754979392
2020-07-25,0.774145754979392
2020-07-26,0.779835860204138
2020-07-27,0.785622046004911
2020-07-28,0.79152566362083
2020-07-29,0.79152566362083
2020-07-30,0.809620838772695
2020-07-31,0.809620838772695
2020-08-01,0.809471380098874
2020-08-02,0.808894896642709
2020-08-03,0.808382466903895
2020-08-04,0.808040847078019
2020-08-05,0.808040847078019
2020-08-06,0.805414644666598
2020-08-07,0.805414644666598
2020-08-08,0.805382617807922
2020-08-09,0.805585454579536
2020-08-10,0.805596130199094
2020-08-11,0.805884371927177
2020-08-12,0.805884371927177
2020-08-13,0.805884371927177
2020-08-14,0.805884371927177
2020-08-15,0.805884371927177
2020-08-16,0.805884371927177
2020-08-17,0.805884371927177
2020-08-18,0.805884371927177
2020-08-19,0.805884371927177
2020-08-20,0.805884371927177
2020-08-21,0.805884371927177
2020-08-22,0.805884371927177
2020-08-23,0.805884371927177
2020-08-24,0.805884371927177
2020-08-25,0.805884371927177
2020-08-26,0.805884371927177
2020-08-27,0.805884371927177
2020-08-28,0.805884371927177
2020-08-29,0.805884371927177
2020-08-30,0.805884371927177
2020-08-31,0.805884371927177
2020-09-01,0.805884371927177
2020-09-02,0.805884371927177
2020-09-03,0.805884371927177
2020-09-04,0.805884371927177
2020-09-05,0.805884371927177
2020-09-06,0.805884371927177
2020-09-07,0.805884371927177
2020-09-08,0.805884371927177
2020-09-09,0.805884371927177
2020-09-10,0.805884371927177
2020-09-11,0.805884371927177
2020-09-12,0.805884371927177
2020-09-13,0.805884371927177
2020-09-14,0.805884371927177
2020-09-15,0.805884371927177
2020-09-16,0.805884371927177
2020-09-17,0.805884371927177
2020-09-18,0.805884371927177
2020-09-19,0.805884371927177
2020-09-20,0.805884371927177
2020-09-21,0.805884371927177
2020-09-22,0.805884371927177
2020-09-23,0.805884371927177
2020-09-24,0.805884371927177
2020-09-25,0.805884371927177
2020-09-26,0.805884371927177
2020-09-27,0.805884371927177
2020-09-28,0.805884371927177
2020-09-29,0.805884371927177
2020-09-30,0.805884371927177
